put_ratio,get_ratio,del_ratio,qps
0,100,0,49150.15
0,95,5,48607.06
0,90,10,49130.18
0,85,15,49274.49
0,80,20,48943.16
0,75,25,48831.84
0,70,30,48800.91
0,65,35,48763.35
0,60,40,48551.94
0,55,45,48670.73
0,50,50,48473.13
0,45,55,48356.32
0,40,60,48342.55
0,35,65,47975.16
0,30,70,47666.6
0,25,75,47777.55
0,20,80,47819.72
0,15,85,47666.93
0,10,90,47403.58
0,5,95,47453.91
0,0,100,47167.69
5,95,0,48806.0
5,90,5,48626.5
5,85,10,48382.5
5,80,15,48427.5
5,75,20,48441.25
5,70,25,48232.17
5,65,30,48187.75
5,60,35,47944.29
5,55,40,47846.0
5,50,45,47926.5
5,45,50,47616.69
5,40,55,47658.13
5,35,60,47679.03
5,30,65,47170.84
5,25,70,47371.12
5,20,75,47072.79
5,15,80,46885.74
5,10,85,46920.34
5,5,90,46581.32
5,0,95,46467.33
10,90,0,48161.74
10,85,5,48159.67
10,80,10,47848.55
10,75,15,47749.87
10,70,20,47786.3
10,65,25,47943.7
10,60,30,47574.15
10,55,35,47431.86
10,50,40,47660.74
10,45,45,47306.6
10,40,50,47029.09
10,35,55,47054.69
10,30,60,46983.13
10,25,65,46958.35
10,20,70,46699.37
10,15,75,46313.48
10,10,80,46024.9
10,5,85,46282.29
10,0,90,46238.89
15,85,0,47855.3
15,80,5,47680.09
15,75,10,47851.88
15,70,15,47266.56
15,65,20,47435.46
15,60,25,47292.2
15,55,30,47146.21
15,50,35,47073.1
15,45,40,46860.8
15,40,45,46901.44
15,35,50,46780.66
15,30,55,46350.92
15,25,60,46385.93
15,20,65,46372.05
15,15,70,46389.09
15,10,75,46182.94
15,5,80,45965.59
15,0,85,45677.37
20,80,0,47270.05
20,75,5,47097.21
20,70,10,47228.32
20,65,15,46902.49
20,60,20,47004.0
20,55,25,46854.44
20,50,30,46697.29
20,45,35,46723.07
20,40,40,46127.54
20,35,45,46520.43
20,30,50,46331.79
20,25,55,46165.04
20,20,60,45996.88
20,15,65,45699.78
20,10,70,45790.84
20,5,75,45430.53
20,0,80,45695.15
25,75,0,46981.09
25,70,5,46998.77
25,65,10,46759.5
25,60,15,46529.86
25,55,20,46681.43
25,50,25,46226.82
25,45,30,46068.9
25,40,35,46035.45
25,35,40,46008.65
25,30,45,45834.88
25,25,50,45811.39
25,20,55,45701.75
25,15,60,45371.33
25,10,65,45595.72
25,5,70,45276.19
25,0,75,45054.33
30,70,0,46481.56
30,65,5,46511.63
30,60,10,46141.38
30,55,15,46061.51
30,50,20,45988.39
30,45,25,46067.43
30,40,30,45802.08
30,35,35,45444.68
30,30,40,45297.41
30,25,45,45542.44
30,20,50,45412.97
30,15,55,45204.44
30,10,60,45252.26
30,5,65,44963.48
30,0,70,45278.25
35,65,0,46281.95
35,60,5,46070.0
35,55,10,45749.82
35,50,15,45666.87
35,45,20,45537.22
35,40,25,45391.1
35,35,30,45416.26
35,30,35,45367.16
35,25,40,45231.05
35,20,45,45281.62
35,15,50,45175.15
35,10,55,44907.28
35,5,60,45013.13
35,0,65,44795.2
40,60,0,45780.83
40,55,5,45680.19
40,50,10,45485.37
40,45,15,45409.44
40,40,20,45308.19
40,35,25,45099.79
40,30,30,45092.11
40,25,35,44845.33
40,20,40,44905.36
40,15,45,44863.68
40,10,50,44734.07
40,5,55,44528.11
40,0,60,44466.72
45,55,0,45434.61
45,50,5,45288.99
45,45,10,45146.07
45,40,15,44878.69
45,35,20,44674.43
45,30,25,44900.49
45,25,30,44596.66
45,20,35,44622.64
45,15,40,44487.69
45,10,45,44511.39
45,5,50,44311.41
45,0,55,44216.14
50,50,0,45111.23
50,45,5,44871.0
50,40,10,44624.7
50,35,15,44590.19
50,30,20,44695.12
50,25,25,44511.18
50,20,30,44547.74
50,15,35,44308.73
50,10,40,44167.16
50,5,45,44008.75
50,0,50,44125.47
55,45,0,44759.28
55,40,5,44621.86
55,35,10,44708.86
55,30,15,44508.57
55,25,20,44258.32
55,20,25,44179.31
55,15,30,43980.29
55,10,35,44051.2
55,5,40,43840.6
55,0,45,43754.11
60,40,0,44370.03
60,35,5,44228.15
60,30,10,44160.43
60,25,15,44097.39
60,20,20,44043.14
60,15,25,43867.25
60,10,30,43916.2
60,5,35,43886.95
60,0,40,43661.68
65,35,0,44145.15
65,30,5,44017.0
65,25,10,44015.27
65,20,15,43714.55
65,15,20,43835.27
65,10,25,43812.05
65,5,30,43593.78
65,0,35,43617.37
70,30,0,43989.02
70,25,5,43911.54
70,20,10,43834.8
70,15,15,43726.7
70,10,20,43612.19
70,5,25,43332.11
70,0,30,43298.46
75,25,0,43603.68
75,20,5,43473.43
75,15,10,43471.93
75,10,15,43291.11
75,5,20,43025.47
75,0,25,43003.62
80,20,0,43199.23
80,15,5,43284.38
80,10,10,42839.15
80,5,15,42695.36
80,0,20,42702.57
85,15,0,43216.48
85,10,5,42968.39
85,5,10,42644.86
85,0,15,42731.99
90,10,0,42908.15
90,5,5,42818.53
90,0,10,42590.33
95,5,0,42682.29
95,0,5,42836.34
100,0,0,42628.49
